,Geography,cases,deaths,Estimated % of Households Below poverty level,Total Households,Household has three or more generations
1278,26109.0,18474,150.0,12.1,10474,163
1279,26111.0,7709,100.0,10.8,33437,693
1280,26113.0,9626,115.0,11.4,5843,172
1281,26115.0,6357,74.0,10.9,58230,2105
1282,26117.0,21733,237.0,12.5,23432,715
1283,26119.0,3286,66.0,14.0,4416,104
1284,26121.0,44020,500.0,13.1,65616,2463
1285,26123.0,18721,226.0,15.0,18406,639
1286,26125.0,1853,49.0,8.2,483698,13858
1287,26127.0,47030,672.0,12.2,10174,332
1288,26129.0,12688,163.0,15.7,9283,237
1289,26131.0,346266,4082.0,14.7,3258,44
1290,26133.0,7158,97.0,15.7,9222,257
1291,26135.0,4680,109.0,14.0,3772,86
1292,26137.0,1194,41.0,12.8,9756,240
1293,26139.0,5581,86.0,7.9,93775,2302
1294,26141.0,1583,58.0,13.0,5982,101
1295,26143.0,6334,109.0,14.1,11433,244
1296,26145.0,82949,825.0,17.0,79011,2716
1297,26151.0,2229,61.0,13.4,17132,454
1298,26153.0,5184,122.0,14.6,3759,56
1299,26155.0,57465,989.0,11.5,27481,884
1300,26147.0,9652,208.0,11.8,63841,2012
1301,26149.0,2007,17.0,12.7,23244,890
1302,26157.0,20223,237.0,12.8,21590,669
1303,26159.0,15063,218.0,13.3,28928,1108
1304,26161.0,14627,292.0,13.0,137193,2956
1305,26163.0,21605,86.0,19.8,702749,38519
1306,26165.0,19302,292.0,13.9,13021,363
1307,27001.0,99644,573.0,13.1,7299,126
1308,27003.0,477484,8337.0,5.8,121227,4012
1309,27005.0,7983,119.0,10.9,13224,256
1310,27007.0,3377,63.0,17.2,16846,586
1311,27009.0,110960,823.0,9.0,15079,236
1312,27011.0,9812,99.0,13.6,2293,11
1313,27013.0,13244,129.0,15.6,24445,323
1314,27015.0,15772,185.0,8.6,10782,121
1315,27017.0,1574,9.0,7.8,13538,315
1316,27019.0,20027,107.0,4.5,32891,538
1317,27021.0,7372,84.0,12.6,11948,317
1318,27023.0,10337,106.0,11.3,5241,72
1319,27025.0,30155,125.0,6.4,19470,515
1320,27027.0,7935,86.0,13.1,22279,353
1321,27029.0,3464,50.0,15.9,3527,76
1322,27031.0,16139,123.0,10.9,2494,28
1323,27033.0,22004,130.0,12.2,4857,66
1324,27035.0,2312,31.0,10.4,26033,468
1325,27037.0,714,4.0,5.9,152060,3594
1326,27039.0,3519,41.0,4.7,7460,139
1327,27041.0,17903,174.0,9.0,15289,160
1328,27043.0,127158,816.0,12.1,6236,83
1329,27045.0,6346,22.0,8.2,8545,118
1330,27047.0,12245,122.0,10.3,13177,263
1331,27049.0,4205,55.0,9.5,18730,336
1332,27051.0,5406,27.0,9.4,2601,31
1333,27053.0,9951,80.0,9.6,475913,10431
1334,27055.0,14764,147.0,8.2,7849,102
1335,27057.0,1634,12.0,11.1,8661,157
1336,27059.0,356366,2682.0,7.4,13972,443
1337,27061.0,5143,20.0,12.6,18773,382
1338,27063.0,5618,60.0,7.4,4429,52
1339,27065.0,11003,120.0,9.7,6413,147
1340,27067.0,12608,157.0,10.2,16732,296
1341,27069.0,2402,17.0,10.4,1986,13
1342,27071.0,3982,59.0,12.7,5874,84
1343,27073.0,14657,146.0,9.5,3155,24
1344,27075.0,1144,29.0,8.7,4825,67
1345,27077.0,3314,41.0,8.6,1784,31
1346,27079.0,1984,29.0,8.1,10758,178
1347,27081.0,2404,31.0,12.1,2574,16
1348,27083.0,851,6.0,13.6,10227,125
1349,27087.0,7058,52.0,18.6,2019,89
1350,27089.0,1370,6.0,8.5,3981,57
1351,27091.0,7664,76.0,13.8,9035,97
1352,27085.0,2002,18.0,8.7,14639,280
1353,27093.0,2318,24.0,7.2,9176,162
1354,27095.0,6242,68.0,11.4,10166,332
1355,27097.0,12015,113.0,10.2,13080,208
1356,27099.0,6612,79.0,13.0,15828,295
1357,27101.0,7861,120.0,8.9,3717,28
1358,27103.0,10220,113.0,8.9,12201,197
1359,27105.0,12986,75.0,11.8,7946,207
1360,27107.0,2209,20.0,10.4,2863,33
1361,27109.0,9175,72.0,8.1,57080,1091
1362,27111.0,7556,61.0,9.8,24055,324
1363,27113.0,1653,15.0,9.9,5836,82
1364,27115.0,49275,199.0,11.8,11373,320
1365,27117.0,15088,176.0,11.1,4054,36
1366,27119.0,3984,43.0,11.8,12704,181
1367,27121.0,7894,68.0,10.0,4736,51
1368,27123.0,2178,34.0,11.7,202691,5942
1369,27125.0,9838,116.0,13.6,1737,13
1370,27127.0,3559,20.0,10.8,6580,100
1371,27129.0,146219,1412.0,11.0,6564,90
1372,27131.0,998,13.0,9.8,22315,484
1373,27133.0,4361,54.0,10.4,3918,41
1374,27135.0,4194,58.0,8.2,6300,93
1375,27139.0,19612,191.0,4.6,45108,1173
1376,27141.0,2560,35.0,5.9,30212,796
1377,27143.0,4849,46.0,8.1,6034,97
1378,27137.0,45211,272.0,14.0,84783,1341
1379,27145.0,29881,186.0,11.1,56232,817
1380,27147.0,3926,27.0,8.9,14330,275
1381,27149.0,55312,568.0,11.7,3726,24
1382,27151.0,56765,385.0,12.5,4236,53
1383,27153.0,11332,64.0,12.9,9756,178
1384,27155.0,3050,15.0,11.1,1524,14
1385,27157.0,7795,66.0,8.0,8822,136
1386,27159.0,937,11.0,14.9,5705,102
1387,27161.0,794,356.0,8.7,7281,100
1388,27163.0,6308,19.0,4.7,87859,2125
1389,27165.0,4749,58.0,12.9,4520,119
1390,27167.0,6031,41.0,9.2,2690,27
1391,27169.0,76963,513.0,13.2,19554,277
1392,27171.0,3224,24.0,5.9,44473,976
1393,27173.0,1811,23.0,10.3,4292,34
1394,28001.0,14704,78.0,31.3,12643,758
1395,28003.0,40155,315.0,17.9,15039,581
1396,28005.0,2834,31.0,33.4,5351,299
1397,28007.0,8218,149.0,25.5,7619,445
1398,28009.0,11784,163.0,20.2,3404,222
1399,28011.0,3661,70.0,29.1,12727,970
1400,28013.0,6303,119.0,19.2,5988,290
1401,28015.0,2591,49.0,18.4,4188,230
1402,28017.0,10557,186.0,26.0,6639,431
1403,28019.0,5209,74.0,18.3,3446,157
1404,28021.0,2898,57.0,29.9,3440,293
1405,28023.0,6485,98.0,22.0,6733,339
1406,28025.0,2660,34.0,24.9,8029,495
1407,28027.0,2450,48.0,32.7,9461,814
1408,28029.0,4641,109.0,20.6,10708,879
